product_id,product_name,category,subcategory,brand,unit_price,cost
1,Laptop Dell Inspiron 15,Technology,Computers,Dell,899.99,650.00
2,Office Chair Executive,Furniture,Chairs,Steelcase,245.99,180.00
3,Samsung Galaxy S24,Technology,Phones,Samsung,1099.99,750.00
4,Wooden Desk Oak,Furniture,Tables,IKEA,199.99,120.00
5,HP Printer LaserJet,Technology,Printers,HP,179.99,125.00
6,Conference Table 8ft,Furniture,Tables,Herman Miller,899.99,650.00
7,MacBook Pro 14-inch,Technology,Computers,Apple,2399.99,1800.00
8,Ergonomic Mouse,Technology,Accessories,Logitech,29.99,15.00
9,Filing Cabinet 4-drawer,Furniture,Storage,Staples,149.99,90.00
10,iPad Air 5th Gen,Technology,Tablets,Apple,699.99,500.00
11,Standing Desk Adjustable,Furniture,Tables,Flexispot,299.99,200.00
12,Wireless Keyboard,Technology,Accessories,Microsoft,79.99,45.00
13,Bookshelf 5-tier,Furniture,Storage,IKEA,89.99,55.00
14,Monitor 27-inch 4K,Technology,Monitors,LG,349.99,250.00
15,Desk Lamp LED,Furniture,Lighting,Philips,45.99,25.00
16,Mechanical Keyboard,Technology,Accessories,Corsair,129.99,80.00
17,Office Sofa 3-seat,Furniture,Seating,West Elm,1299.99,900.00
18,Tablet Stand Adjustable,Technology,Accessories,Twelve South,99.99,60.00
19,Storage Cabinet Metal,Furniture,Storage,Steelcase,399.99,280.00
20,Webcam HD 1080p,Technology,Accessories,Logitech,89.99,50.00